N° client;Client (automatique);Groupe (automatique);Date installation;N° de zone de lavage;Adresse (automatique);N° de routeur;Date dernière intervention;Produit lavant;Dilution lavant;Couleur buse lavant;Produit séchant;Dilution séchant;Couleur buse séchant;Autre produit lavant;Autre dilution lavant;Autre couleur buse lavant;Produit jantes;Dilution jantes;Produit lavant Zone 2;Dilution lavant Zone 2;Couleur buse lavant Zone 2;Produit séchant Zone 2;Dilution séchant Zone 2;Couleur buse séchant Zone 2;Autre produit lavant Zone 2;Autre dilution lavant Zone 2;Autre couleur buse lavant Zone 2;Produit lavant Zone 3;Dilution lavant Zone 3;Couleur buse lavant Zone 3;Produit séchant Zone 3;Dilution séchant Zone 3;Couleur buse séchant Zone 3;Produit lavant Zone 4;Dilution lavant Zone 4;Couleur buse lavant Zone 4;Produit séchant Zone 4;Dilution séchant Zone 4;Couleur buse séchant Zone 4;Produit lavant Zone 5;Dilution lavant Zone 5;Couleur buse lavant Zone 5;Produit séchant Zone 5;Dilution séchant Zone 5;Couleur buse séchant Zone 5;Option eau;Objet du mail;Titre du mail;Vérif statut du contrat (automatique);Explication du problème;Solution préconisée
1070657992;MOLITOR AUTOMOBILES NISSAN;0;23.11.2022;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rapports de consommation E-wash_1070657992_MOLITOR AUTOMOBILES NISSAN;Rapports de consommation E-wash_1070657992_MOLITOR AUTOMOBILES NISSAN;Pas de rapport;;
1070462396;GGE MERCEDES LES ULIS;GGE;06.12.2022;1;91490 LES ULIS;Q80059;17.10.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;10,40%;Blanche;Auto-séchant prêt-à-l'emploi 200L - 0893025650;1,85%;Bleue turqoise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070462396_GGE MERCEDES LES ULIS;Rapports de consommation E-wash_1070462396_GGE MERCEDES LES ULIS;Ok;;
1070943343;GGE MERCEDES VALENTON;GGE;06.12.2022;1;94460 VALENTON;Q8006A;17.10.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;9,80%;Bleue;Auto-séchant prêt-à-l'emploi 200L - 0893025650;2,50%;Bleue turqoise;;;;Nettoyant jantes purple 200L - 0893477009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070943343_GGE MERCEDES VALENTON;Rapports de consommation E-wash_1070943343_GGE MERCEDES VALENTON;Ok;;
1070910404;GGE MERCEDES VIRY CHATILLON;GGE;06.12.2022;1;91170 VIRY-CHÂTILLON;Q80063;17.10.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;11,60%;Bleue;Auto-séchant prêt-à-l'emploi 200L - 0893025650;1,85%;Bleue turqoise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070910404_GGE MERCEDES VIRY CHATILLON;Rapports de consommation E-wash_1070910404_GGE MERCEDES VIRY CHATILLON;Ok;;
1070985702;UNIMARK;SITE UNIQUE;08.12.2022;2;59187 DECHY;Q8003A;15.10.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;12,80%;Rouge;Auto-séchant prêt-à-l'emploi 200L - 0893025650;2,50%;Bleue turqoise;;;;;;WNC 60 Nettoyant carrosserie 200L - 0890473;9,80%;Brun clair;Auto-séchant prêt-à-l'emploi 200L - 0893025650;3,00%;Brun foncé;;;;;;;;;;;;;;;;;;;;;;Non;Rapport de consommation E-wash_1070985702_UNIMARK;Rapport de consommation E-wash_1070985702_UNIMARK;Ok;;
1071107389;BLAV;SITE UNIQUE;09.12.2022;1;91140 VILLEBON-SUR-YVETTE;Q8005B;17.10.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;11,60%;Bleue;Auto-séchant prêt-à-l'emploi 200L - 0893025650;1,85%;Turquoise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapport de consommation E-wash_1071107389_BLAV;Rapport de consommation E-wash_1071107389_BLAV;Pas de rapport;;
1070446250;GÉNÉRAL AUTOMOBILE ORVAULT;GENERAL AUTOMOBILE;20.12.2022;1;44700 ORVAULT;Q90074 / Q22169 / Q221C5;11.02.2026;WNC 40 Nettoyant carrosserie 200L - 08904701;;;Auto-séchant prêt-à-l'emploi 200L - 0893025650;;;WNC 50 Nettoyant carrosserie 200L - 08904711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070446250_GÉNÉRAL AUTOMOBILE ORVAULT;Rapports de consommation E-wash_1070446250_GÉNÉRAL AUTOMOBILE ORVAULT;Ok;;
1070194240;GÉNÉRAL AUTOMOBILE GUERANDE;GENERAL AUTOMOBILE;20.12.2022;1;44350 GUERANDE;Q80064 / Q8005E;01.10.2025;WNC 31 Nettoyant carrosserie auto-séchant 200L - 0893010720;;;Auto-séchant prêt-à-l'emploi 200L - 0893025650;;;WNC 31 Nettoyant carrosserie auto-séchant 200L - 0893010720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070194240_GÉNÉRAL AUTOMOBILE GUERANDE;Rapports de consommation E-wash_1070194240_GÉNÉRAL AUTOMOBILE GUERANDE;Ok;;
1070093697;GÉNÉRAL AUTOMOBILE CARROSSERIE ;GENERAL AUTOMOBILE;20.12.2022;1;44880 SAUTRON;Q22170;30.09.2025;WNC 50 Nettoyant carrosserie 200L - 08904711;;;Auto-séchant prêt-à-l'emploi 200L - 0893025650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070093697_GÉNÉRAL AUTOMOBILE CARROSSERIE ;Rapports de consommation E-wash_1070093697_GÉNÉRAL AUTOMOBILE CARROSSERIE ;Ok;;
1070262035;GENIN VW ;SITE UNIQUE;04.01.2023;2;26000 VALENCE;Q2217B / Q2216D;10.11.2025;WNC 40 Nettoyant carrosserie 200L - 08904701;;;Auto-séchant prêt-à-l'emploi 200L - 0893025650;;;;;;Nettoyant jantes purple 200L - 0893477009;;WNC 40 Nettoyant carrosserie 200L - 08904701;;;;;;WNC 31 Nettoyant carrosserie auto-séchant 200L - 0893010720;;;;;;;;;;;;;;;;;;;;;Non;Rapport de consommation E-wash_1070262035_GENIN VW ;Rapport de consommation E-wash_1070262035_GENIN VW ;Ok;;
1071162469;RENAULT NANTES;0;30.01.2023;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rapports de consommation E-wash_1071162469_RENAULT NANTES;Rapports de consommation E-wash_1071162469_RENAULT NANTES;Pas de rapport;;
1070383198;ALTITUDE 38;0;08.02.2023;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rapports de consommation E-wash_1070383198_ALTITUDE 38;Rapports de consommation E-wash_1070383198_ALTITUDE 38;Pas de rapport;;
1070133566;STARTER 2009;SEGOND AUTO;23.02.2023;1;06500 MENTON;Q2216E;09.10.2025;WNC 50 Nettoyant carrosserie 200L - 08904711;9,80%;Bleue;Auto-séchant prêt-à-l'emploi 200L - 0893025650;2,30%;Violette;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Rapports de consommation E-wash_1070133566_STARTER 2009;Rapports de consommation E-wash_1070133566_STARTER 2009;Ok;;
